Track 0: WinJammer DemoMetaMessage('sequencer_specific', data=(0, 0, 91, 35, 2, 0, 3, 0, 51, 0), time=0)
MetaMessage('track_name', name='WinJammer Demo', time=0)
MetaMessage('instrument_name', name='Hotel California', time=0)
MetaMessage('midi_port', port=0, time=0)
MetaMessage('set_tempo', tempo=810810, time=0)
MetaMessage('key_signature', key='C', time=0)
MetaMessage('time_signature', numerator=4, denominator=4, clocks_per_click=24, notated_32nd_notes_per_beat=8, time=0)
MetaMessage('end_of_track', time=0)
Track 1: WinJammer DemoMetaMessage('track_name', name='WinJammer Demo', time=0)
MetaMessage('instrument_name', name='by the Eagles', time=0)
note_on channel=0 note=58 velocity=60 time=0
note_on channel=0 note=49 velocity=60 time=0
note_on channel=0 note=66 velocity=60 time=0
note_on channel=0 note=61 velocity=60 time=0
note_on channel=0 note=42 velocity=0 time=29
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=58 velocity=0 time=0
note_on channel=0 note=49 velocity=0 time=0
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=61 velocity=0 time=0
note_on channel=0 note=66 velocity=60 time=1
note_on channel=0 note=61 velocity=60 time=0
note_on channel=0 note=58 velocity=60 time=0
note_on channel=0 note=49 velocity=60 time=0
note_on channel=0 note=42 velocity=60 time=0
note_on channel=0 note=54 velocity=60 time=0
note_on channel=0 note=66 velocity=0 time=59
note_on channel=0 note=61 velocity=0 time=0
note_on channel=0 note=58 velocity=0 time=0
note_on channel=0 note=49 velocity=0 time=0
note_on channel=0 note=42 velocity=0 time=0
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=54 velocity=60 time=1
note_on channel=0 note=49 velocity=60 time=0
note_on channel=0 note=61 velocity=60 time=0
note_on channel=0 note=66 velocity=60 time=0
note_on channel=0 note=42 velocity=60 time=0
note_on channel=0 note=58 velocity=60 time=0
note_on channel=0 note=54 velocity=0 time=29
note_on channel=0 note=49 velocity=0 time=0
note_on channel=0 note=61 velocity=0 time=0
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=42 velocity=0 time=0
note_on channel=0 note=58 velocity=0 time=0
note_on channel=0 note=58 velocity=60 time=1
note_on channel=0 note=49 velocity=60 time=0
note_on channel=0 note=61 velocity=60 time=0
note_on channel=0 note=54 velocity=60 time=0
note_on channel=0 note=42 velocity=60 time=0
note_on channel=0 note=66 velocity=60 time=0
note_on channel=0 note=58 velocity=0 time=59
note_on channel=0 note=49 velocity=0 time=0
note_on channel=0 note=61 velocity=0 time=0
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=42 velocity=0 time=0
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=58 velocity=60 time=1
note_on channel=0 note=66 velocity=60 time=0
note_on channel=0 note=61 velocity=60 time=0
note_on channel=0 note=49 velocity=60 time=0
note_on channel=0 note=42 velocity=60 time=0
note_on channel=0 note=54 velocity=60 time=0
note_on channel=0 note=58 velocity=0 time=59
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=61 velocity=0 time=0
note_on channel=0 note=49 velocity=0 time=0
note_on channel=0 note=42 velocity=0 time=0
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=66 velocity=60 time=1
note_on channel=0 note=49 velocity=60 time=0
note_on channel=0 note=42 velocity=60 time=0
note_on channel=0 note=58 velocity=60 time=0
note_on channel=0 note=54 velocity=60 time=0
note_on channel=0 note=61 velocity=60 time=0
note_on channel=0 note=66 velocity=0 time=59
note_on channel=0 note=49 velocity=0 time=0
note_on channel=0 note=42 velocity=0 time=0
note_on channel=0 note=58 velocity=0 time=0
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=61 velocity=0 time=0
note_on channel=0 note=62 velocity=60 time=1
note_on channel=0 note=59 velocity=60 time=0
note_on channel=0 note=42 velocity=60 time=0
note_on channel=0 note=47 velocity=60 time=0
note_on channel=0 note=66 velocity=60 time=0
note_on channel=0 note=54 velocity=60 time=0
note_on channel=0 note=62 velocity=0 time=29
note_on channel=0 note=59 velocity=0 time=0
note_on channel=0 note=42 velocity=0 time=0
note_on channel=0 note=47 velocity=0 time=0
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=59 velocity=60 time=1
note_on channel=0 note=42 velocity=60 time=0
note_on channel=0 note=62 velocity=60 time=0
note_on channel=0 note=54 velocity=60 time=0
note_on channel=0 note=47 velocity=60 time=0
note_on channel=0 note=66 velocity=60 time=0
note_on channel=0 note=59 velocity=0 time=59
note_on channel=0 note=42 velocity=0 time=0
note_on channel=0 note=62 velocity=0 time=0
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=47 velocity=0 time=0
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=47 velocity=60 time=1
note_on channel=0 note=42 velocity=60 time=0
note_on channel=0 note=54 velocity=60 time=0
note_on channel=0 note=59 velocity=60 time=0
note_on channel=0 note=66 velocity=60 time=0
note_on channel=0 note=62 velocity=60 time=0
note_on channel=0 note=47 velocity=0 time=29
note_on channel=0 note=42 velocity=0 time=0
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=59 velocity=0 time=0
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=62 velocity=0 time=0
note_on channel=0 note=59 velocity=60 time=1
note_on channel=0 note=47 velocity=60 time=0
note_on channel=0 note=66 velocity=60 time=0
note_on channel=0 note=54 velocity=60 time=0
note_on channel=0 note=42 velocity=60 time=0
note_on channel=0 note=62 velocity=60 time=0
control_change channel=0 control=7 value=90 time=0
note_on channel=0 note=59 velocity=0 time=59
note_on channel=0 note=47 velocity=0 time=0
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=42 velocity=0 time=0
note_on channel=0 note=62 velocity=0 time=0
note_on channel=0 note=59 velocity=60 time=1
note_on channel=0 note=42 velocity=60 time=0
note_on channel=0 note=54 velocity=60 time=0
note_on channel=0 note=62 velocity=60 time=0
note_on channel=0 note=47 velocity=60 time=0
note_on channel=0 note=66 velocity=60 time=0
note_on channel=0 note=59 velocity=0 time=29
note_on channel=0 note=42 velocity=0 time=0
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=62 velocity=0 time=0
note_on channel=0 note=47 velocity=0 time=0
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=62 velocity=60 time=1
note_on channel=0 note=66 velocity=60 time=0
note_on channel=0 note=42 velocity=60 time=0
note_on channel=0 note=59 velocity=60 time=0
note_on channel=0 note=47 velocity=60 time=0
note_on channel=0 note=54 velocity=60 time=0
control_change channel=0 control=7 value=87 time=30
note_on channel=0 note=62 velocity=0 time=29
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=42 velocity=0 time=0
note_on channel=0 note=59 velocity=0 time=0
note_on channel=0 note=47 velocity=0 time=0
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=42 velocity=60 time=1
note_on channel=0 note=62 velocity=60 time=0
note_on channel=0 note=54 velocity=60 time=0
note_on channel=0 note=59 velocity=60 time=0
note_on channel=0 note=66 velocity=60 time=0
note_on channel=0 note=47 velocity=60 time=0
note_on channel=0 note=42 velocity=0 time=29
note_on channel=0 note=62 velocity=0 time=0
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=59 velocity=0 time=0
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=47 velocity=0 time=0
note_on channel=0 note=54 velocity=60 time=1
note_on channel=0 note=42 velocity=60 time=0
note_on channel=0 note=59 velocity=60 time=0
note_on channel=0 note=47 velocity=60 time=0
note_on channel=0 note=66 velocity=60 time=0
note_on channel=0 note=62 velocity=60 time=0
note_on channel=0 note=54 velocity=0 time=59
note_on channel=0 note=42 velocity=0 time=0
note_on channel=0 note=59 velocity=0 time=0
note_on channel=0 note=47 velocity=0 time=0
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=62 velocity=0 time=0
note_on channel=0 note=59 velocity=60 time=1
note_on channel=0 note=62 velocity=60 time=0
note_on channel=0 note=42 velocity=60 time=0
note_on channel=0 note=54 velocity=60 time=0
note_on channel=0 note=47 velocity=60 time=0
note_on channel=0 note=66 velocity=60 time=0
control_change channel=0 control=7 value=84 time=0
note_on channel=0 note=59 velocity=0 time=59
note_on channel=0 note=62 velocity=0 time=0
note_on channel=0 note=42 velocity=0 time=0
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=47 velocity=0 time=0
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=66 velocity=60 time=1
note_on channel=0 note=54 velocity=60 time=0
note_on channel=0 note=62 velocity=60 time=0
note_on channel=0 note=47 velocity=60 time=0
note_on channel=0 note=42 velocity=60 time=0
note_on channel=0 note=59 velocity=60 time=0
note_on channel=0 note=66 velocity=0 time=59
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=62 velocity=0 time=0
note_on channel=0 note=47 velocity=0 time=0
note_on channel=0 note=42 velocity=0 time=0
note_on channel=0 note=59 velocity=0 time=0
note_on channel=0 note=42 velocity=60 time=1
note_on channel=0 note=61 velocity=60 time=0
note_on channel=0 note=58 velocity=60 time=0
note_on channel=0 note=54 velocity=60 time=0
control_change channel=0 control=7 value=81 time=0
note_on channel=0 note=66 velocity=60 time=0
note_on channel=0 note=49 velocity=60 time=0
note_on channel=0 note=42 velocity=0 time=29
note_on channel=0 note=61 velocity=0 time=0
note_on channel=0 note=58 velocity=0 time=0
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=49 velocity=0 time=0
note_on channel=0 note=49 velocity=60 time=1
note_on channel=0 note=66 velocity=60 time=0
note_on channel=0 note=42 velocity=60 time=0
note_on channel=0 note=61 velocity=60 time=0
note_on channel=0 note=54 velocity=60 time=0
note_on channel=0 note=58 velocity=60 time=0
note_on channel=0 note=49 velocity=0 time=59
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=42 velocity=0 time=0
note_on channel=0 note=61 velocity=0 time=0
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=58 velocity=0 time=0
note_on channel=0 note=66 velocity=60 time=1
note_on channel=0 note=61 velocity=60 time=0
note_on channel=0 note=42 velocity=60 time=0
note_on channel=0 note=58 velocity=60 time=0
note_on channel=0 note=49 velocity=60 time=0
note_on channel=0 note=54 velocity=60 time=0
note_on channel=0 note=66 velocity=0 time=29
note_on channel=0 note=61 velocity=0 time=0
note_on channel=0 note=42 velocity=0 time=0
note_on channel=0 note=58 velocity=0 time=0
note_on channel=0 note=49 velocity=0 time=0
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=42 velocity=60 time=1
note_on channel=0 note=61 velocity=60 time=0
note_on channel=0 note=54 velocity=60 time=0
note_on channel=0 note=49 velocity=60 time=0
note_on channel=0 note=58 velocity=60 time=0
control_change channel=0 control=7 value=78 time=0
note_on channel=0 note=66 velocity=60 time=0
note_on channel=0 note=42 velocity=0 time=59
note_on channel=0 note=61 velocity=0 time=0
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=49 velocity=0 time=0
note_on channel=0 note=58 velocity=0 time=0
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=61 velocity=60 time=1
note_on channel=0 note=54 velocity=60 time=0
note_on channel=0 note=58 velocity=60 time=0
note_on channel=0 note=66 velocity=60 time=0
note_on channel=0 note=42 velocity=60 time=0
note_on channel=0 note=49 velocity=60 time=0
note_on channel=0 note=61 velocity=0 time=29
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=58 velocity=0 time=0
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=42 velocity=0 time=0
note_on channel=0 note=49 velocity=0 time=0
note_on channel=0 note=61 velocity=60 time=1
note_on channel=0 note=66 velocity=60 time=0
note_on channel=0 note=54 velocity=60 time=0
note_on channel=0 note=49 velocity=60 time=0
note_on channel=0 note=58 velocity=60 time=0
note_on channel=0 note=42 velocity=60 time=0
control_change channel=0 control=7 value=75 time=30
note_on channel=0 note=61 velocity=0 time=29
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=49 velocity=0 time=0
note_on channel=0 note=58 velocity=0 time=0
note_on channel=0 note=42 velocity=0 time=0
note_on channel=0 note=61 velocity=60 time=1
note_on channel=0 note=66 velocity=60 time=0
note_on channel=0 note=42 velocity=60 time=0
note_on channel=0 note=58 velocity=60 time=0
note_on channel=0 note=49 velocity=60 time=0
note_on channel=0 note=54 velocity=60 time=0
note_on channel=0 note=61 velocity=0 time=29
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=42 velocity=0 time=0
note_on channel=0 note=58 velocity=0 time=0
note_on channel=0 note=49 velocity=0 time=0
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=58 velocity=60 time=1
note_on channel=0 note=61 velocity=60 time=0
note_on channel=0 note=54 velocity=60 time=0
note_on channel=0 note=42 velocity=60 time=0
note_on channel=0 note=49 velocity=60 time=0
note_on channel=0 note=66 velocity=60 time=0
note_on channel=0 note=58 velocity=0 time=59
note_on channel=0 note=61 velocity=0 time=0
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=42 velocity=0 time=0
note_on channel=0 note=49 velocity=0 time=0
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=66 velocity=60 time=1
note_on channel=0 note=49 velocity=60 time=0
note_on channel=0 note=61 velocity=60 time=0
note_on channel=0 note=58 velocity=60 time=0
control_change channel=0 control=7 value=72 time=0
note_on channel=0 note=54 velocity=60 time=0
note_on channel=0 note=42 velocity=60 time=0
note_on channel=0 note=66 velocity=0 time=59
note_on channel=0 note=49 velocity=0 time=0
note_on channel=0 note=61 velocity=0 time=0
note_on channel=0 note=58 velocity=0 time=0
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=42 velocity=0 time=0
note_on channel=0 note=49 velocity=60 time=1
note_on channel=0 note=66 velocity=60 time=0
note_on channel=0 note=61 velocity=60 time=0
note_on channel=0 note=54 velocity=60 time=0
note_on channel=0 note=58 velocity=60 time=0
note_on channel=0 note=42 velocity=60 time=0
note_on channel=0 note=49 velocity=0 time=59
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=61 velocity=0 time=0
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=58 velocity=0 time=0
note_on channel=0 note=42 velocity=0 time=0
note_on channel=0 note=57 velocity=60 time=1
note_on channel=0 note=61 velocity=60 time=0
control_change channel=0 control=7 value=69 time=0
note_on channel=0 note=52 velocity=60 time=0
note_on channel=0 note=40 velocity=60 time=0
note_on channel=0 note=45 velocity=60 time=0
note_on channel=0 note=64 velocity=60 time=0
note_on channel=0 note=57 velocity=0 time=29
note_on channel=0 note=61 velocity=0 time=0
note_on channel=0 note=52 velocity=0 time=0
note_on channel=0 note=40 velocity=0 time=0
note_on channel=0 note=45 velocity=0 time=0
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=45 velocity=60 time=1
note_on channel=0 note=57 velocity=60 time=0
note_on channel=0 note=40 velocity=60 time=0
note_on channel=0 note=61 velocity=60 time=0
note_on channel=0 note=52 velocity=60 time=0
note_on channel=0 note=64 velocity=60 time=0
note_on channel=0 note=45 velocity=0 time=59
note_on channel=0 note=57 velocity=0 time=0
note_on channel=0 note=40 velocity=0 time=0
note_on channel=0 note=61 velocity=0 time=0
note_on channel=0 note=52 velocity=0 time=0
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=52 velocity=60 time=1
note_on channel=0 note=40 velocity=60 time=0
note_on channel=0 note=45 velocity=60 time=0
note_on channel=0 note=61 velocity=60 time=0
note_on channel=0 note=64 velocity=60 time=0
note_on channel=0 note=57 velocity=60 time=0
note_on channel=0 note=52 velocity=0 time=29
note_on channel=0 note=40 velocity=0 time=0
note_on channel=0 note=45 velocity=0 time=0
note_on channel=0 note=61 velocity=0 time=0
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=57 velocity=0 time=0
note_on channel=0 note=64 velocity=60 time=1
note_on channel=0 note=45 velocity=60 time=0
note_on channel=0 note=57 velocity=60 time=0
control_change channel=0 control=7 value=66 time=0
note_on channel=0 note=52 velocity=60 time=0
note_on channel=0 note=40 velocity=60 time=0
note_on channel=0 note=61 velocity=60 time=0
note_on channel=0 note=64 velocity=0 time=59
note_on channel=0 note=45 velocity=0 time=0
note_on channel=0 note=57 velocity=0 time=0
note_on channel=0 note=52 velocity=0 time=0
note_on channel=0 note=40 velocity=0 time=0
note_on channel=0 note=61 velocity=0 time=0
note_on channel=0 note=40 velocity=60 time=1
note_on channel=0 note=57 velocity=60 time=0
note_on channel=0 note=64 velocity=60 time=0
note_on channel=0 note=52 velocity=60 time=0
note_on channel=0 note=61 velocity=60 time=0
note_on channel=0 note=45 velocity=60 time=0
note_on channel=0 note=40 velocity=0 time=29
note_on channel=0 note=57 velocity=0 time=0
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=52 velocity=0 time=0
note_on channel=0 note=61 velocity=0 time=0
note_on channel=0 note=45 velocity=0 time=0
note_on channel=0 note=40 velocity=60 time=1
note_on channel=0 note=61 velocity=60 time=0
note_on channel=0 note=45 velocity=60 time=0
note_on channel=0 note=64 velocity=60 time=0
note_on channel=0 note=52 velocity=60 time=0
note_on channel=0 note=57 velocity=60 time=0
control_change channel=0 control=7 value=63 time=30
note_on channel=0 note=40 velocity=0 time=29
